codbar,neighborhood,district,grid_point,lat,lon,nearest_bike_parking_m,is_underserved
55,SANT ANTONI,LA SAÏDIA,1,39.487700787764595,-0.37202912666396387,43.8,False
55,SANT ANTONI,LA SAÏDIA,2,39.490395721289566,-0.37202912666396387,15.5,False
33,LA PETXINA,EXTRAMURS,0,39.470428152939135,-0.3910289500397613,57.5,False
33,LA PETXINA,EXTRAMURS,1,39.473123086464106,-0.3910289500397613,46.6,False
33,LA PETXINA,EXTRAMURS,2,39.473123086464106,-0.3875377325314135,56.3,False
33,LA PETXINA,EXTRAMURS,3,39.47581801998908,-0.3945201675481091,74.6,False
33,LA PETXINA,EXTRAMURS,4,39.47581801998908,-0.3910289500397613,86.0,False
14,EL PILAR,CIUTAT VELLA,0,39.471942414872835,-0.382422292514718,32.1,False
14,EL PILAR,CIUTAT VELLA,1,39.474637348397806,-0.382422292514718,31.4,False
122,ALBORS,CAMINS AL GRAU,0,39.46688539375896,-0.35479478661463104,19.9,False
122,ALBORS,CAMINS AL GRAU,1,39.46688539375896,-0.35130382146489514,34.6,False
122,ALBORS,CAMINS AL GRAU,2,39.46958032728393,-0.35479478661463104,49.5,False
122,ALBORS,CAMINS AL GRAU,3,39.46958032728393,-0.35130382146489514,7.9,False
32,LA ROQUETA,EXTRAMURS,0,39.464390997265845,-0.37885724140018423,57.3,False
32,LA ROQUETA,EXTRAMURS,1,39.467085930790816,-0.3823481047363774,6.8,False
32,LA ROQUETA,EXTRAMURS,2,39.467085930790816,-0.37885724140018423,85.5,False
73,TRES FORQUES,L'OLIVERETA,0,39.464843990978686,-0.40436052874368406,81.8,False
73,TRES FORQUES,L'OLIVERETA,1,39.464843990978686,-0.4008696725312642,29.1,False
73,TRES FORQUES,L'OLIVERETA,2,39.464843990978686,-0.39737881631884436,58.0,False
73,TRES FORQUES,L'OLIVERETA,3,39.46753892450366,-0.40436052874368406,137.7,False
73,TRES FORQUES,L'OLIVERETA,4,39.46753892450366,-0.4008696725312642,41.1,False
73,TRES FORQUES,L'OLIVERETA,5,39.46753892450366,-0.39737881631884436,64.8,False
81,PATRAIX,PATRAIX,0,39.460514183076896,-0.3921652238109783,46.3,False
81,PATRAIX,PATRAIX,1,39.460514183076896,-0.38867455080954383,37.6,False
81,PATRAIX,PATRAIX,2,39.46320911660187,-0.39565589681241276,40.0,False
81,PATRAIX,PATRAIX,3,39.46320911660187,-0.3921652238109783,24.5,False
81,PATRAIX,PATRAIX,4,39.46320911660187,-0.38867455080954383,58.1,False
81,PATRAIX,PATRAIX,5,39.46590405012684,-0.3921652238109783,44.1,False
104,LA FONTETA S.LLUIS,QUATRE CARRERES,0,39.44233791119573,-0.3677699557677936,46.6,False
104,LA FONTETA S.LLUIS,QUATRE CARRERES,1,39.4450328447207,-0.3677699557677936,67.2,False
106,LA PUNTA,QUATRE CARRERES,0,39.42768923518705,-0.3405120588497044,377.5,True
106,LA PUNTA,QUATRE CARRERES,1,39.42768923518705,-0.33702245039226636,511.4,True
106,LA PUNTA,QUATRE CARRERES,2,39.430384168712024,-0.34749127576458055,870.4,True
106,LA PUNTA,QUATRE CARRERES,3,39.430384168712024,-0.3440016673071425,719.3,True
106,LA PUNTA,QUATRE CARRERES,4,39.430384168712024,-0.3405120588497044,675.8,True
106,LA PUNTA,QUATRE CARRERES,5,39.430384168712024,-0.33702245039226636,758.7,True
106,LA PUNTA,QUATRE CARRERES,6,39.433079102236995,-0.3544704926794567,732.2,True
106,LA PUNTA,QUATRE CARRERES,7,39.433079102236995,-0.3509808842220186,979.1,True
106,LA PUNTA,QUATRE CARRERES,8,39.433079102236995,-0.34749127576458055,1118.7,True
106,LA PUNTA,QUATRE CARRERES,9,39.433079102236995,-0.3440016673071425,1005.5,True
106,LA PUNTA,QUATRE CARRERES,10,39.433079102236995,-0.3405120588497044,974.9,True
106,LA PUNTA,QUATRE CARRERES,11,39.433079102236995,-0.33702245039226636,1034.1,True
106,LA PUNTA,QUATRE CARRERES,12,39.435774035761966,-0.36842892650920894,745.7,True
106,LA PUNTA,QUATRE CARRERES,13,39.435774035761966,-0.3649393180517709,632.8,True
