objectid,parking_type,spaces,x_utm,y_utm,lat,lon
1458728,A - Horquilla,10,726523.8739999998,4373230.395,39.4788658598256,-0.36633563563505656
1458729,A - Horquilla,10,723016.7450000001,4371722.9059999995,39.46621248222461,-0.4075755739068724
1458730,A - Horquilla,10,726464.756,4371875.654999999,39.466687283450405,-0.36748221374098367
1458731,A - Horquilla,10,724821.6150000002,4372801.573000001,39.475452367500175,-0.3862520082731696
1458732,B - Estuctura,10,726743.6490000002,4372664.2190000005,39.47371179338894,-0.363975455313054
1458733,A - Horquilla,8,725938.7400000002,4373368.968,39.48026700621812,-0.3730849910855508
1458734,A - Horquilla,4,727085.9689999996,4374882.699999999,39.49359012858321,-0.3592441131995944
1458735,A - Horquilla,8,725383.2139999997,4372471.58,39.472335149585106,-0.3798408248196171
1458736,A - Horquilla,8,726635.6160000004,4370250.877,39.452017530357104,-0.3660496856890047
1458737,A - Horquilla,10,723371.3669999996,4374428.583000001,39.49047525781197,-0.4025510139984108
1458738,A - Horquilla,4,728932.5920000002,4371572.754000001,39.46330818518469,-0.3389278576361454
1458739,A - Horquilla,4,729552.6239999998,4371697.465,39.46426560459849,-0.33168513607916594
1458740,A - Horquilla,8,727050.7819999997,4373631.714,39.482339277216205,-0.36007901491740474
1458741,A - Horquilla,4,725882.0539999995,4371602.255000001,39.464379457952106,-0.3743416457093614
1458742,A - Horquilla,10,727426.3710000003,4372608.382999999,39.47302908002239,-0.356065370725449
1458743,A - Horquilla,8,726101.2810000004,4370166.601,39.45139937913794,-0.37228211217346857
1458744,A - Horquilla,8,727826.932,4372887.3719999995,39.47543431669767,-0.35131803755222246
1458745,A - Horquilla,6,724076.6900000004,4372017.541999999,39.468589354959796,-0.3951673665489608
1458746,A - Horquilla,10,726051.2139999997,4374037.501,39.486255002106205,-0.37155191533695586
1458747,A - Horquilla,8,729441.4859999996,4371416.698999999,39.46176809501407,-0.3330722128949431
1458748,A - Horquilla,20,729470.7790000001,4367001.306,39.422017813610644,-0.3342486177248532
1458749,A - Horquilla,8,724190.3229999999,4373914.714,39.48563673054606,-0.39320993968649187
1458750,A - Horquilla,4,725777.9639999997,4371335.8780000005,39.46200905767537,-0.3756405166116858
1458751,A - Horquilla,14,726934.9560000002,4372667.710000001,39.47369279502547,-0.3617524242547555
1458752,A - Horquilla,8,726870.665,4374944.733999999,39.49420531813076,-0.36172424715836327
1458753,A - Horquilla,8,729772.0590000004,4371831.467,39.46541319899682,-0.3290908868387345
